id,mes,ano,arquivo_nome,registros_count,valor_total,created_by,created_at
62f72be0-4219-435e-8788-31c293b7afb4,1,2026,01_NF PARA PAGAMENTO DIA 30.01.2026.xlsx,200,402676.05,6ce9e874-3995-4643-aca8-b786f2b8b147,2026-05-08 16:51:43.504827+00
d24fdd11-758e-4d20-838c-c7fc13a8cc4e,2,2026,02.2026 unificado.xlsx,185,406303.20,6ce9e874-3995-4643-aca8-b786f2b8b147,2026-05-08 16:58:07.495194+00
56174a1b-c54e-410f-aea1-6fc2badb93cf,3,2026,03.2026 unificado.xlsx,176,377002.39,6ce9e874-3995-4643-aca8-b786f2b8b147,2026-05-13 20:48:11.289318+00
9065dab8-d04a-4430-8149-056d1e23b628,4,2026,04.2026 unificado.xlsx,179,448218.97,6ce9e874-3995-4643-aca8-b786f2b8b147,2026-05-13 20:50:12.52839+00
